date,dau
2020-01-02,2
2020-01-03,1
2020-01-04,2
2020-01-05,2
2020-01-06,1
2020-01-07,1
2020-01-08,13
2020-01-09,13
2020-01-10,18
2020-01-11,8
2020-01-12,5
2020-01-13,10
2020-01-14,12
2020-01-15,10
2020-01-16,12
2020-01-17,10
2020-01-18,29
2020-01-19,16
2020-01-20,15
2020-01-21,18
2020-01-22,12
2020-01-23,22
2020-01-24,21
2020-01-25,11
2020-01-26,22
2020-01-27,19
2020-01-28,21
2020-01-29,18
2020-01-30,20
2020-01-31,22
2020-02-01,28
2020-02-02,26
2020-02-03,21
2020-02-04,36
2020-02-05,32
2020-02-06,19
2020-02-07,33
2020-02-08,24
2020-02-09,24
2020-02-10,25
2020-02-11,51
2020-02-12,50
2020-02-13,40
2020-02-14,54
2020-02-15,49
2020-02-16,42
2020-02-17,43
2020-02-18,47
2020-02-19,42
2020-02-20,40
2020-02-21,46
2020-02-22,50
2020-02-23,49
2020-02-24,42
2020-02-25,51
2020-02-26,63
2020-02-27,68
2020-02-28,48
2020-02-29,50
2020-03-01,57
2020-03-02,56
2020-03-03,58
2020-03-04,64
2020-03-05,55
2020-03-06,63
2020-03-07,88
2020-03-08,86
2020-03-09,100
2020-03-10,83
2020-03-11,103
2020-03-12,88
2020-03-13,86
2020-03-14,85
2020-03-15,93
2020-03-16,86
2020-03-17,84
2020-03-18,93
2020-03-19,132
2020-03-20,119
2020-03-21,108
2020-03-22,111
2020-03-23,121
2020-03-24,100
2020-03-25,101
2020-03-26,106
2020-03-27,109
2020-03-28,108
2020-03-29,117
2020-03-30,145
2020-03-31,139
2020-04-01,137
2020-04-02,154
2020-04-03,144
2020-04-04,157
2020-04-05,172
2020-04-06,169
2020-04-07,159
2020-04-08,163
2020-04-09,164
2020-04-10,180
2020-04-11,178
2020-04-12,173
2020-04-13,168
2020-04-14,168
2020-04-15,175
2020-04-16,181
2020-04-17,177
2020-04-18,180
2020-04-19,178
2020-04-20,190
2020-04-21,169
2020-04-22,182
2020-04-23,185
2020-04-24,190
2020-04-25,194
2020-04-26,200
2020-04-27,180
2020-04-28,199
2020-04-29,199
2020-04-30,217
2020-05-01,225
2020-05-02,228
2020-05-03,194
2020-05-04,224
2020-05-05,217
2020-05-06,226
2020-05-07,227
2020-05-08,231
2020-05-09,229
2020-05-10,239
2020-05-11,242
2020-05-12,224
2020-05-13,260
2020-05-14,237
2020-05-15,253
2020-05-16,260
2020-05-17,271
2020-05-18,245
2020-05-19,253
2020-05-20,247
2020-05-21,275
2020-05-22,268
2020-05-23,278
2020-05-24,281
2020-05-25,270
2020-05-26,274
2020-05-27,303
2020-05-28,319
2020-05-29,303
2020-05-30,297
2020-05-31,287
2020-06-01,308
2020-06-02,310
2020-06-03,274
2020-06-04,283
2020-06-05,318
2020-06-06,297
2020-06-07,294
2020-06-08,290
2020-06-09,308
2020-06-10,312
2020-06-11,316
2020-06-12,317
2020-06-13,336
2020-06-14,325
2020-06-15,325
2020-06-16,327
2020-06-17,351
2020-06-18,350
2020-06-19,363
2020-06-20,390
2020-06-21,372
2020-06-22,408
2020-06-23,398
2020-06-24,418
2020-06-25,381
2020-06-26,400
2020-06-27,405
2020-06-28,396
2020-06-29,442
2020-06-30,427
2020-07-01,410
2020-07-02,428
2020-07-03,426
2020-07-04,423
2020-07-05,447
2020-07-06,413
2020-07-07,391
2020-07-08,445
2020-07-09,443
2020-07-10,472
2020-07-11,466
2020-07-12,445
2020-07-13,475
2020-07-14,471
2020-07-15,485
2020-07-16,459
2020-07-17,496
2020-07-18,507
2020-07-19,516
2020-07-20,468
2020-07-21,484
2020-07-22,490
2020-07-23,499
2020-07-24,459
2020-07-25,465
2020-07-26,513
2020-07-27,474
2020-07-28,506
2020-07-29,486
2020-07-30,531
2020-07-31,459
2020-08-01,516
2020-08-02,488
2020-08-03,525
2020-08-04,517
2020-08-05,517
2020-08-06,557
2020-08-07,524
2020-08-08,551
2020-08-09,558
2020-08-10,546
2020-08-11,528
2020-08-12,545
2020-08-13,537
2020-08-14,518
2020-08-15,522
2020-08-16,523
2020-08-17,559
2020-08-18,510
2020-08-19,525
2020-08-20,543
2020-08-21,550
2020-08-22,553
2020-08-23,513
2020-08-24,514
2020-08-25,513
2020-08-26,549
2020-08-27,557
2020-08-28,544
2020-08-29,562
2020-08-30,558
2020-08-31,540
2020-09-01,537
2020-09-02,556
2020-09-03,538
2020-09-04,553
2020-09-05,545
2020-09-06,523
2020-09-07,536
2020-09-08,514
2020-09-09,551
2020-09-10,556
2020-09-11,557
2020-09-12,517
2020-09-13,523
2020-09-14,550
2020-09-15,562
2020-09-16,549
2020-09-17,540
2020-09-18,571
2020-09-19,583
2020-09-20,559
2020-09-21,553
2020-09-22,560
2020-09-23,556
2020-09-24,538
2020-09-25,571
2020-09-26,571
2020-09-27,546
2020-09-28,564
2020-09-29,548
2020-09-30,560
2020-10-01,551
2020-10-02,583
2020-10-03,576
2020-10-04,635
2020-10-05,639
2020-10-06,665
2020-10-07,671
2020-10-08,680
2020-10-09,716
2020-10-10,746
2020-10-11,731
2020-10-12,752
2020-10-13,766
2020-10-14,788
2020-10-15,796
2020-10-16,837
2020-10-17,857
2020-10-18,858
2020-10-19,882
2020-10-20,901
2020-10-21,883
2020-10-22,900
2020-10-23,924
2020-10-24,948
2020-10-25,1031
2020-10-26,982
2020-10-27,991
2020-10-28,1000
2020-10-29,1044
2020-10-30,1025
2020-10-31,1043
2020-11-01,1056
2020-11-02,1095
2020-11-03,1112
2020-11-04,1104
2020-11-05,1114
2020-11-06,1083
2020-11-07,1167
2020-11-08,1177
2020-11-09,1204
2020-11-10,1216
2020-11-11,1240
2020-11-12,1244
2020-11-13,1235
2020-11-14,1293
2020-11-15,1236
2020-11-16,1242
2020-11-17,1240
2020-11-18,1339
2020-11-19,1327
2020-11-20,1305
2020-11-21,1341
2020-11-22,1390
2020-11-23,1370
2020-11-24,1358
2020-11-25,1417
2020-11-26,1413
2020-11-27,1484
2020-11-28,1502
2020-11-29,1475
2020-11-30,1499
2020-12-01,1520
2020-12-02,1508
2020-12-03,1516
2020-12-04,1516
2020-12-05,1594
2020-12-06,1613
2020-12-07,1615
2020-12-08,1634
2020-12-09,1657
2020-12-10,1674
2020-12-11,1663
2020-12-12,1639
2020-12-13,1696
2020-12-14,1709
2020-12-15,1756
2020-12-16,1750
2020-12-17,1741
2020-12-18,1712
2020-12-19,1806
2020-12-20,1780
2020-12-21,1815
2020-12-22,1791
2020-12-23,1942
2020-12-24,1933
2020-12-25,1909
2020-12-26,1920
2020-12-27,1965
2020-12-28,1944
2020-12-29,2010
2020-12-30,2055
