Date,Rolling_MAU_30_Days_A
2020-01-03,1
2020-01-05,2
2020-01-06,2
2020-01-08,9
2020-01-09,21
2020-01-10,30
2020-01-11,33
2020-01-12,34
2020-01-13,37
2020-01-14,37
2020-01-15,37
2020-01-16,38
2020-01-17,38
2020-01-18,64
2020-01-19,65
2020-01-20,65
2020-01-21,66
2020-01-22,66
2020-01-23,66
2020-01-24,67
2020-01-25,67
2020-01-26,69
2020-01-27,71
2020-01-28,72
2020-01-29,75
2020-01-30,75
2020-01-31,81
2020-02-01,83
2020-02-02,83
2020-02-03,83
2020-02-04,96
2020-02-05,103
2020-02-06,103
2020-02-07,104
2020-02-08,105
2020-02-09,103
2020-02-10,102
2020-02-11,118
2020-02-12,124
2020-02-13,133
2020-02-14,139
2020-02-15,146
2020-02-16,146
2020-02-17,143
2020-02-18,146
2020-02-19,147
2020-02-20,149
2020-02-21,153
2020-02-22,154
2020-02-23,157
2020-02-24,157
2020-02-25,172
2020-02-26,189
2020-02-27,203
2020-02-28,205
2020-02-29,208
2020-03-01,208
2020-03-02,209
2020-03-03,210
2020-03-04,219
2020-03-05,226
2020-03-06,238
2020-03-07,256
2020-03-08,270
2020-03-09,286
2020-03-10,292
2020-03-11,296
2020-03-12,291
2020-03-13,292
2020-03-14,293
2020-03-15,293
2020-03-16,295
2020-03-17,296
2020-03-18,301
2020-03-19,347
2020-03-20,349
2020-03-21,350
2020-03-22,350
2020-03-23,355
2020-03-24,360
2020-03-25,363
2020-03-26,364
2020-03-27,360
2020-03-28,362
2020-03-29,372
2020-03-30,394
2020-03-31,418
2020-04-01,430
2020-04-02,450
2020-04-03,457
2020-04-04,458
2020-04-05,479
2020-04-06,487
2020-04-07,500
2020-04-08,498
2020-04-09,501
2020-04-10,502
2020-04-11,525
2020-04-12,532
2020-04-13,535
2020-04-14,537
2020-04-15,541
2020-04-16,548
2020-04-17,552
2020-04-18,544
2020-04-19,550
2020-04-20,557
2020-04-21,558
2020-04-22,564
2020-04-23,573
2020-04-24,578
2020-04-25,597
2020-04-26,616
2020-04-27,621
2020-04-28,623
2020-04-29,622
2020-04-30,630
2020-05-01,643
2020-05-02,658
2020-05-03,659
2020-05-04,662
2020-05-05,664
2020-05-06,671
2020-05-07,667
2020-05-08,676
2020-05-09,694
2020-05-10,711
2020-05-11,731
2020-05-12,737
2020-05-13,743
2020-05-14,757
2020-05-15,767
2020-05-16,773
2020-05-17,779
2020-05-18,795
2020-05-19,806
2020-05-20,810
2020-05-21,815
2020-05-22,831
2020-05-23,835
2020-05-24,839
2020-05-25,848
2020-05-26,849
2020-05-27,856
2020-05-28,865
2020-05-29,875
2020-05-30,884
2020-05-31,885
2020-06-01,893
2020-06-02,898
2020-06-03,904
2020-06-04,917
2020-06-05,919
2020-06-06,931
2020-06-07,941
2020-06-08,944
2020-06-09,948
2020-06-10,950
2020-06-11,970
2020-06-12,984
2020-06-13,995
2020-06-14,1007
2020-06-15,1010
2020-06-16,1014
2020-06-17,1023
2020-06-18,1039
2020-06-19,1072
2020-06-20,1111
2020-06-21,1122
2020-06-22,1134
2020-06-23,1148
2020-06-24,1185
2020-06-25,1199
2020-06-26,1214
2020-06-27,1226
2020-06-28,1234
2020-06-29,1251
2020-06-30,1259
2020-07-01,1267
2020-07-02,1285
2020-07-03,1291
2020-07-04,1297
2020-07-05,1303
2020-07-06,1326
2020-07-07,1336
2020-07-08,1368
2020-07-09,1388
2020-07-10,1415
2020-07-11,1425
2020-07-12,1442
2020-07-13,1451
2020-07-14,1464
2020-07-15,1482
2020-07-16,1496
2020-07-17,1518
2020-07-18,1542
2020-07-19,1554
2020-07-20,1559
2020-07-21,1571
2020-07-22,1583
2020-07-23,1593
2020-07-24,1598
2020-07-25,1606
2020-07-26,1653
2020-07-27,1660
2020-07-28,1676
2020-07-29,1686
2020-07-30,1697
2020-07-31,1709
2020-08-01,1727
2020-08-02,1744
2020-08-03,1751
2020-08-04,1768
2020-08-05,1780
2020-08-06,1797
2020-08-07,1812
2020-08-08,1842
2020-08-09,1854
2020-08-10,1876
2020-08-11,1893
2020-08-12,1903
2020-08-13,1925
2020-08-14,1940
2020-08-15,1960
2020-08-16,1967
2020-08-17,1977
2020-08-18,1996
2020-08-19,2030
2020-08-20,2048
2020-08-21,2063
2020-08-22,2080
2020-08-23,2093
2020-08-24,2105
2020-08-25,2110
2020-08-26,2127
2020-08-27,2142
2020-08-28,2163
2020-08-29,2181
2020-08-30,2201
2020-08-31,2210
2020-09-01,2220
2020-09-02,2235
2020-09-03,2262
2020-09-04,2283
2020-09-05,2315
2020-09-06,2324
2020-09-07,2342
2020-09-08,2356
2020-09-09,2364
2020-09-10,2385
2020-09-11,2396
2020-09-12,2412
2020-09-13,2426
2020-09-14,2438
2020-09-15,2460
2020-09-16,2473
2020-09-17,2487
2020-09-18,2530
2020-09-19,2542
2020-09-20,2566
2020-09-21,2583
2020-09-22,2606
2020-09-23,2619
2020-09-24,2628
2020-09-25,2653
2020-09-26,2665
2020-09-27,2681
2020-09-28,2701
2020-09-29,2711
2020-09-30,2718
2020-10-01,2738
2020-10-02,2758
2020-10-03,2772
2020-10-04,2787
2020-10-05,2801
2020-10-06,2839
2020-10-07,2861
2020-10-08,2888
2020-10-09,2924
2020-10-10,2943
2020-10-11,2957
2020-10-12,2968
2020-10-13,3002
2020-10-14,3041
2020-10-15,3057
2020-10-16,3076
2020-10-17,3094
2020-10-18,3128
2020-10-19,3174
2020-10-20,3215
2020-10-21,3247
2020-10-22,3270
2020-10-23,3306
2020-10-24,3333
2020-10-25,3351
2020-10-26,3376
2020-10-27,3404
2020-10-28,3427
2020-10-29,3446
2020-10-30,3473
2020-10-31,3507
2020-11-01,3550
2020-11-02,3588
2020-11-03,3627
2020-11-04,3659
2020-11-05,3680
2020-11-06,3715
2020-11-07,3751
2020-11-08,3779
2020-11-09,3808
2020-11-10,3827
2020-11-11,3862
2020-11-12,3879
2020-11-13,3910
2020-11-14,3972
2020-11-15,4000
2020-11-16,4031
2020-11-17,4059
2020-11-18,4090
2020-11-19,4136
2020-11-20,4169
2020-11-21,4207
2020-11-22,4248
2020-11-23,4293
2020-11-24,4324
2020-11-25,4361
2020-11-26,4394
2020-11-27,4440
2020-11-28,4513
2020-11-29,4575
2020-11-30,4613
2020-12-01,4654
2020-12-02,4703
2020-12-03,4756
2020-12-04,4811
2020-12-05,4841
2020-12-06,4874
2020-12-07,4918
2020-12-08,4959
2020-12-09,5015
2020-12-10,5069
2020-12-11,5134
2020-12-12,5177
2020-12-13,5217
2020-12-14,5257
2020-12-15,5282
2020-12-16,5326
2020-12-17,5393
2020-12-18,5438
2020-12-19,5475
2020-12-20,5514
2020-12-21,5561
2020-12-22,5611
2020-12-23,5668
2020-12-24,5726
2020-12-25,5755
2020-12-26,5807
2020-12-27,5847
2020-12-28,5880
2020-12-29,5914
2020-12-30,5982
