user_id,TestGroup,country,age,transaction_count,total_spent
3,B,Norway,29,3,20.96999955177307
4,A,Norway,32,80,1023.199999332428
6,A,Norway,37,51,582.4900071620941
7,B,Norway,34,34,483.6600012779236
8,A,Bulgaria,21,57,442.42999815940857
14,B,Bulgaria,29,18,221.81999564170837
21,B,Bulgaria,20,2,1.9800000190734863
24,A,Bulgaria,25,65,1041.3499896526337
26,B,Bulgaria,24,2,20.979999780654907
62,A,Germany,42,52,729.4800038337708
66,B,Germany,45,1,0.9900000095367432
82,B,Bulgaria,37,5,71.95000123977661
83,B,Bulgaria,27,1,0.9900000095367432
91,B,Bulgaria,25,14,136.86000227928162
94,B,Bulgaria,21,10,135.90000295639038
116,A,Bulgaria,26,55,576.449991941452
120,A,Bulgaria,25,38,619.6199986934662
123,B,Bulgaria,27,11,308.8899965286255
126,A,Germany,45,3,29.969999313354492
130,B,Germany,43,275,3317.2499935626984
131,A,Germany,48,2,24.979999542236328
137,A,Germany,45,187,2472.1299941539764
142,A,Germany,47,45,744.5499951839447
144,B,Norway,32,79,867.2100012302399
145,A,Norway,31,79,1086.2099959850311
146,A,Norway,21,22,318.7800016403198
147,B,Norway,24,21,242.79000282287598
148,B,Norway,27,8,172.91999697685242
162,B,Germany,41,211,3150.8900105953217
167,B,Germany,53,155,2452.4499921798706
175,B,Italy,26,21,287.7899971008301
180,A,Italy,38,36,498.6400034427643
182,B,Italy,29,19,296.8100049495697
186,A,Italy,28,31,448.69000267982483
189,B,Italy,26,1,19.989999771118164
193,A,Italy,28,3,6.96999979019165
203,B,Italy,34,1,4.989999771118164
216,A,Italy,33,59,972.4100029468536
234,B,Italy,30,26,266.7400007247925
235,A,Italy,36,65,1069.3499956130981
238,A,Italy,38,54,739.4600026607513
241,B,Italy,31,22,151.7799997329712
244,B,Italy,23,1,0.9900000095367432
258,A,Bulgaria,33,35,527.6499943733215
268,A,Germany,39,96,1481.040001630783
276,B,Bulgaria,28,5,32.94999957084656
279,B,Bulgaria,40,1,9.989999771118164
293,A,Bulgaria,32,26,286.7400026321411
306,A,Germany,51,10,117.90000033378601
312,B,Bulgaria,33,2,1.9800000190734863
322,A,Italy,25,15,246.84999823570251
325,A,Bulgaria,28,9,211.90999841690063
326,A,Norway,28,67,952.329996585846
329,B,Germany,46,152,2233.4800102710724
334,A,Bulgaria,30,10,88.89999866485596
336,A,Bulgaria,27,5,21.94999933242798
340,B,Norway,30,15,297.8499972820282
342,A,Norway,26,14,275.8600046634674
350,B,Germany,47,1,19.989999771118164
367,A,Greece,21,110,1463.8999996185303
373,B,Germany,47,1,9.989999771118164
374,B,Italy,29,8,141.92000246047974
378,B,Greece,22,22,305.78000140190125
388,B,Greece,29,19,242.80999755859375
390,A,Greece,25,35,302.6499969959259
393,B,Greece,26,4,120.9599974155426
398,A,Italy,37,2,20.979999780654907
407,A,Greece,24,68,1072.3199956417084
408,A,Greece,21,30,404.70000314712524
411,B,Greece,37,12,164.88000226020813
424,B,Germany,48,98,1524.0199973583221
430,B,Germany,52,49,1145.5099983215332
442,A,Bulgaria,37,12,186.8799958229065
445,B,Italy,29,3,64.97000122070312
450,B,Italy,29,41,471.5899965763092
462,A,Italy,30,42,712.5800049304962
466,B,Italy,33,39,604.6100022792816
468,B,Italy,26,66,828.3400058746338
475,A,Germany,44,60,1101.3999967575073
476,B,Italy,30,3,70.9700014591217
483,A,Italy,25,129,1915.709998369217
489,B,Bulgaria,29,9,37.909998655319214
502,B,Italy,30,5,17.949999570846558
