date,dau,mau,stickiness_percentage
2020-01-02,2,72,2.7778
2020-01-03,1,72,1.3889
2020-01-04,2,72,2.7778
2020-01-05,2,72,2.7778
2020-01-06,1,72,1.3889
2020-01-07,1,72,1.3889
2020-01-08,13,72,18.0556
2020-01-09,13,72,18.0556
2020-01-10,18,72,25.0000
2020-01-11,8,72,11.1111
2020-01-12,5,72,6.9444
2020-01-13,10,72,13.8889
2020-01-14,12,72,16.6667
2020-01-15,10,72,13.8889
2020-01-16,12,72,16.6667
2020-01-17,10,72,13.8889
2020-01-18,29,72,40.2778
2020-01-19,16,72,22.2222
2020-01-20,15,72,20.8333
2020-01-21,18,72,25.0000
2020-01-22,12,72,16.6667
2020-01-23,22,72,30.5556
2020-01-24,21,72,29.1667
2020-01-25,11,72,15.2778
2020-01-26,22,72,30.5556
2020-01-27,19,72,26.3889
2020-01-28,21,72,29.1667
2020-01-29,18,72,25.0000
2020-01-30,20,72,27.7778
2020-01-31,22,72,30.5556
2020-02-01,28,210,13.3333
2020-02-02,26,210,12.3810
2020-02-03,21,210,10.0000
2020-02-04,36,210,17.1429
2020-02-05,32,210,15.2381
2020-02-06,19,210,9.0476
2020-02-07,33,210,15.7143
2020-02-08,24,210,11.4286
2020-02-09,24,210,11.4286
2020-02-10,25,210,11.9048
2020-02-11,51,210,24.2857
2020-02-12,50,210,23.8095
2020-02-13,40,210,19.0476
2020-02-14,54,210,25.7143
2020-02-15,49,210,23.3333
2020-02-16,42,210,20.0000
2020-02-17,43,210,20.4762
2020-02-18,47,210,22.3810
2020-02-19,42,210,20.0000
2020-02-20,40,210,19.0476
2020-02-21,46,210,21.9048
2020-02-22,50,210,23.8095
2020-02-23,49,210,23.3333
2020-02-24,42,210,20.0000
2020-02-25,51,210,24.2857
2020-02-26,63,210,30.0000
2020-02-27,68,210,32.3810
2020-02-28,48,210,22.8571
2020-02-29,50,210,23.8095
2020-03-01,57,448,12.7232
2020-03-02,56,448,12.5000
2020-03-03,58,448,12.9464
2020-03-04,64,448,14.2857
2020-03-05,55,448,12.2768
2020-03-06,63,448,14.0625
2020-03-07,88,448,19.6429
2020-03-08,86,448,19.1964
2020-03-09,100,448,22.3214
2020-03-10,83,448,18.5268
2020-03-11,103,448,22.9911
2020-03-12,88,448,19.6429
2020-03-13,86,448,19.1964
2020-03-14,85,448,18.9732
2020-03-15,93,448,20.7589
2020-03-16,86,448,19.1964
2020-03-17,84,448,18.7500
2020-03-18,93,448,20.7589
2020-03-19,132,448,29.4643
2020-03-20,119,448,26.5625
2020-03-21,108,448,24.1071
2020-03-22,111,448,24.7768
2020-03-23,121,448,27.0089
2020-03-24,100,448,22.3214
2020-03-25,101,448,22.5446
2020-03-26,106,448,23.6607
2020-03-27,109,448,24.3304
2020-03-28,108,448,24.1071
2020-03-29,117,448,26.1161
2020-03-30,145,448,32.3661
2020-03-31,139,448,31.0268
2020-04-01,137,674,20.3264
2020-04-02,154,674,22.8487
2020-04-03,144,674,21.3650
2020-04-04,157,674,23.2938
2020-04-05,172,674,25.5193
2020-04-06,169,674,25.0742
2020-04-07,159,674,23.5905
2020-04-08,163,674,24.1840
2020-04-09,164,674,24.3323
2020-04-10,180,674,26.7062
2020-04-11,178,674,26.4095
2020-04-12,173,674,25.6677
2020-04-13,168,674,24.9258
2020-04-14,168,674,24.9258
2020-04-15,175,674,25.9644
